#Time TotalMass(kg) flux(inlet) flux(outlet)
3875.29 0 0 0
3886.42 0 0 0
3897.56 0 0 0
3908.69 0 0 0
3919.83 0 0 0
3930.97 0 0 0
3942.1 0 0 0
3953.24 0 0 0
3964.37 0 0 0
3975.51 0 0 0
3986.64 0 0 0
3997.78 0 0 0
4008.92 0 0 0
4020.05 0 0 0
4031.19 0 0 0
4042.32 0 0 0
4053.46 0 0 0
4064.6 0 0 0
4075.73 0 0 0
4086.87 0 0 0
4098 0 0 0
4109.14 0 0 0
4120.27 0 0 0
4131.41 0 0 0
4142.55 0 0 0
4153.68 0 0 0
4164.82 0 0 0
4175.95 0 0 0
4187.09 0 0 0
4198.23 0 0 0
4209.36 0 0 0
4220.5 0 0 0
4231.63 0 0 0
4242.77 0 0 0
4253.9 0 0 0
4265.04 0 0 0
4276.18 0 0 0
4287.31 0 0 0
4298.45 0 0 0
4309.58 0 0 0
4320.72 0 0 0
4331.86 0 0 0
4342.99 0 0 0
4354.13 0 0 0
4365.26 0 0 0
4376.4 0 0 0
4387.53 0 0 0
4398.67 0 0 0
4409.81 0 0 0
4422.9 0 0 0
4435.72 0 0 0
4448.25 0 0 0
4460.51 0 0 0
4472.47 0 0 0
4484.18 0 0 0
4495.63 0 0 0
4506.81 0 0 0
4517.76 0 0 0
4528.46 0 0 0
4538.93 0 0 0
4549.17 0 0 0
4559.42 0 0 0
4571.64 0 0 0
4583.52 0 0 0
4595.07 0 0 0
4606.31 0 0 0
4617.23 0 0 0
4627.84 0 0 0
4638.17 0 0 0
4648.21 0 0 0
4657.98 0 0 0
4667.47 0 0 0
4678.53 0 0 0
4689.24 0 0 0
4699.59 0 0 0
4709.59 0 0 0
4719.26 0 0 0
4728.61 0 0 0
4739.46 0 0 0
4749.87 0 0 0
4759.87 0 0 0
4769.47 0 0 0
4778.68 0 0 0
4789.21 0 0 0
4799.23 0 0 0
4808.79 0 0 0
4818.35 0 0 0
4827.91 0 0 0
4839.38 0 0 0
4850.84 0 0 0
4862.31 0 0 0
4873.78 0 0 0
4885.25 0 0 0
4896.72 0 0 0
4908.19 0 0 0
4919.65 0 0 0
4931.12 0 0 0
4942.59 0 0 0
4954.06 0 0 0
4965.53 0 0 0
4976.99 0 0 0
4988.49 0 0 0
4999.981987 0 0 0
5011.476281 0 0 0
5022.970575 0 0 0
5034.464869 0 0 0
5048.258023 0 0 0
5062.051176 0 0 0
5075.844329 0 0 0
5089.637482 0 0 0
5103.430635 0 0 0
5117.223788 0 0 0
5131.016941 0 0 0
5144.810095 0 0 0
5158.603248 0 0 0
5172.396401 0 0 0
5186.189554 0 0 0
5199.982707 0 0 0
5213.77586 0 0 0
5227.569013 0 0 0
5241.362167 0 0 0
5255.15532 0 0 0
5268.948473 0 0 0
5282.741626 0 0 0
5296.534779 0 0 0
5310.327932 0 0 0
5324.121085 0 0 0
5337.914239 0 0 0
5351.707392 0 0 0
5365.500545 0 0 0
5379.293698 0 0 0
5393.086851 0 0 0
5406.880004 0 0 0
5420.673157 0 0 0
5434.46631 0 0 0
5448.259464 0 0 0
5462.052617 0 0 0
5475.84577 0 0 0
5489.638923 0 0 0
5503.432076 0 0 0
5517.225229 0 0 0
5531.018382 0 0 0
5544.811536 0 0 0
5558.604689 0 0 0
5572.397842 0 0 0
5586.190995 0 0 0
5599.984148 0 0 0
5613.777301 0 0 0
5627.570454 0 0 0
5641.363608 0 0 0
5655.156761 0 0 0
5668.949914 0 0 0
5682.743067 0 0 0
5696.53622 0 0 0
